timestamp,node_id,pressure_kpa,temp_c,flow_m3h,volume_m3,std_volume_m3,balance_error,anomaly_label,model,y_true,score,pred
2026-05-01 00:00:00,S1,404.66,15.0,240.99,10452.0,9824.88,-0.167,0,IsolationForest,0,0.062,0
2026-05-01 00:00:00,S1,404.66,15.0,240.99,10452.0,9824.88,-0.167,0,DBSCAN,0,0.069,0
2026-05-01 00:00:00,S1,404.66,15.0,240.99,10452.0,9824.88,-0.167,0,Autoencoder,0,0.172,0
2026-05-01 00:00:00,S1,404.66,15.0,240.99,10452.0,9824.88,-0.167,0,Kalman,0,0,0
2026-05-01 00:00:00,S1,404.66,15.0,240.99,10452.0,9824.88,-0.167,0,DoubleControl,0,0.007,0
2026-05-01 00:01:00,S1,404.1,15.0,238.86,10455.98,9828.62,-0.259,0,IsolationForest,0,0,0
2026-05-01 00:01:00,S1,404.1,15.0,238.86,10455.98,9828.62,-0.259,0,DBSCAN,0,0,0
2026-05-01 00:01:00,S1,404.1,15.0,238.86,10455.98,9828.62,-0.259,0,Autoencoder,0,0.079,0
2026-05-01 00:01:00,S1,404.1,15.0,238.86,10455.98,9828.62,-0.259,0,Kalman,0,0,0
2026-05-01 00:01:00,S1,404.1,15.0,238.86,10455.98,9828.62,-0.259,0,DoubleControl,0,0,0
2026-05-01 00:02:00,S1,404.53,15.0,242.93,10460.1,9832.49,0.384,0,IsolationForest,0,0.102,0
2026-05-01 00:02:00,S1,404.53,15.0,242.93,10460.1,9832.49,0.384,0,DBSCAN,0,0.065,0
2026-05-01 00:02:00,S1,404.53,15.0,242.93,10460.1,9832.49,0.384,0,Autoencoder,0,0,0
2026-05-01 00:02:00,S1,404.53,15.0,242.93,10460.1,9832.49,0.384,0,Kalman,0,0.016,0
2026-05-01 00:02:00,S1,404.53,15.0,242.93,10460.1,9832.49,0.384,0,DoubleControl,0,0.124,0
2026-05-01 00:03:00,S1,404.27,15.0,240.58,10464.03,9836.19,-0.002,0,IsolationForest,0,0,0
2026-05-01 00:03:00,S1,404.27,15.0,240.58,10464.03,9836.19,-0.002,0,DBSCAN,0,0.148,0
2026-05-01 00:03:00,S1,404.27,15.0,240.58,10464.03,9836.19,-0.002,0,Autoencoder,0,0,0
2026-05-01 00:03:00,S1,404.27,15.0,240.58,10464.03,9836.19,-0.002,0,Kalman,0,0.017,0
2026-05-01 00:03:00,S1,404.27,15.0,240.58,10464.03,9836.19,-0.002,0,DoubleControl,0,0,0
2026-05-01 00:04:00,S1,405.04,15.0,237.34,10467.82,9839.75,0.033,0,IsolationForest,0,0.11,0
2026-05-01 00:04:00,S1,405.04,15.0,237.34,10467.82,9839.75,0.033,0,DBSCAN,0,0,0
2026-05-01 00:04:00,S1,405.04,15.0,237.34,10467.82,9839.75,0.033,0,Autoencoder,0,0,0
2026-05-01 00:04:00,S1,405.04,15.0,237.34,10467.82,9839.75,0.033,0,Kalman,0,0.067,0
2026-05-01 00:04:00,S1,405.04,15.0,237.34,10467.82,9839.75,0.033,0,DoubleControl,0,0,0
2026-05-01 00:05:00,S1,404.18,15.0,237.31,10471.78,9843.47,0.049,0,IsolationForest,0,0,0
2026-05-01 00:05:00,S1,404.18,15.0,237.31,10471.78,9843.47,0.049,0,DBSCAN,0,0,0
2026-05-01 00:05:00,S1,404.18,15.0,237.31,10471.78,9843.47,0.049,0,Autoencoder,0,0.098,0
2026-05-01 00:05:00,S1,404.18,15.0,237.31,10471.78,9843.47,0.049,0,Kalman,0,0.091,0
2026-05-01 00:05:00,S1,404.18,15.0,237.31,10471.78,9843.47,0.049,0,DoubleControl,0,0.056,0
2026-05-01 00:06:00,S1,404.6,15.0,238.32,10475.83,9847.28,-0.226,0,IsolationForest,0,0.164,0
2026-05-01 00:06:00,S1,404.6,15.0,238.32,10475.83,9847.28,-0.226,0,DBSCAN,0,0,0
2026-05-01 00:06:00,S1,404.6,15.0,238.32,10475.83,9847.28,-0.226,0,Autoencoder,0,0,0
2026-05-01 00:06:00,S1,404.6,15.0,238.32,10475.83,9847.28,-0.226,0,Kalman,0,0.132,0
2026-05-01 00:06:00,S1,404.6,15.0,238.32,10475.83,9847.28,-0.226,0,DoubleControl,0,0.0,0
2026-05-01 00:07:00,S1,404.99,15.0,241.67,10480.19,9851.38,0.054,0,IsolationForest,0,0,0
2026-05-01 00:07:00,S1,404.99,15.0,241.67,10480.19,9851.38,0.054,0,DBSCAN,0,0.071,0
2026-05-01 00:07:00,S1,404.99,15.0,241.67,10480.19,9851.38,0.054,0,Autoencoder,0,0.237,0
2026-05-01 00:07:00,S1,404.99,15.0,241.67,10480.19,9851.38,0.054,0,Kalman,0,0.006,0
2026-05-01 00:07:00,S1,404.99,15.0,241.67,10480.19,9851.38,0.054,0,DoubleControl,0,0.089,0
2026-05-01 00:08:00,S1,405.61,15.0,234.76,10483.3,9854.3,-0.213,0,IsolationForest,0,0.156,0
2026-05-01 00:08:00,S1,405.61,15.0,234.76,10483.3,9854.3,-0.213,0,DBSCAN,0,0.186,0
2026-05-01 00:08:00,S1,405.61,15.0,234.76,10483.3,9854.3,-0.213,0,Autoencoder,0,0.029,0
2026-05-01 00:08:00,S1,405.61,15.0,234.76,10483.3,9854.3,-0.213,0,Kalman,0,0,0
2026-05-01 00:08:00,S1,405.61,15.0,234.76,10483.3,9854.3,-0.213,0,DoubleControl,0,0,0
2026-05-01 00:09:00,S1,405.44,15.0,238.42,10487.76,9858.5,-0.121,0,IsolationForest,0,0,0
2026-05-01 00:09:00,S1,405.44,15.0,238.42,10487.76,9858.5,-0.121,0,DBSCAN,0,0.178,0
2026-05-01 00:09:00,S1,405.44,15.0,238.42,10487.76,9858.5,-0.121,0,Autoencoder,0,0.064,0
2026-05-01 00:09:00,S1,405.44,15.0,238.42,10487.76,9858.5,-0.121,0,Kalman,0,0,0
2026-05-01 00:09:00,S1,405.44,15.0,238.42,10487.76,9858.5,-0.121,0,DoubleControl,0,0.05,0
2026-05-01 00:10:00,S1,405.57,15.0,240.19,10492.03,9862.51,-0.046,0,IsolationForest,0,0.087,0
2026-05-01 00:10:00,S1,405.57,15.0,240.19,10492.03,9862.51,-0.046,0,DBSCAN,0,0,0
2026-05-01 00:10:00,S1,405.57,15.0,240.19,10492.03,9862.51,-0.046,0,Autoencoder,0,0,0
2026-05-01 00:10:00,S1,405.57,15.0,240.19,10492.03,9862.51,-0.046,0,Kalman,0,0.11,0
2026-05-01 00:10:00,S1,405.57,15.0,240.19,10492.03,9862.51,-0.046,0,DoubleControl,0,0,0
2026-05-01 00:11:00,S1,405.24,15.0,234.69,10495.03,9865.32,-0.051,0,IsolationForest,0,0,0
2026-05-01 00:11:00,S1,405.24,15.0,234.69,10495.03,9865.32,-0.051,0,DBSCAN,0,0,0
2026-05-01 00:11:00,S1,405.24,15.0,234.69,10495.03,9865.32,-0.051,0,Autoencoder,0,0.067,0
2026-05-01 00:11:00,S1,405.24,15.0,234.69,10495.03,9865.32,-0.051,0,Kalman,0,0.159,0
2026-05-01 00:11:00,S1,405.24,15.0,234.69,10495.03,9865.32,-0.051,0,DoubleControl,0,0.019,0
2026-05-01 00:12:00,S1,404.72,15.0,240.52,10500.1,9870.1,-0.003,0,IsolationForest,0,0,0
2026-05-01 00:12:00,S1,404.72,15.0,240.52,10500.1,9870.1,-0.003,0,DBSCAN,0,0,0
2026-05-01 00:12:00,S1,404.72,15.0,240.52,10500.1,9870.1,-0.003,0,Autoencoder,0,0,0
2026-05-01 00:12:00,S1,404.72,15.0,240.52,10500.1,9870.1,-0.003,0,Kalman,0,0.009,0
2026-05-01 00:12:00,S1,404.72,15.0,240.52,10500.1,9870.1,-0.003,0,DoubleControl,0,0,0
2026-05-01 00:13:00,S1,404.84,15.0,238.68,10503.71,9873.49,-0.029,0,IsolationForest,0,0.04,0
2026-05-01 00:13:00,S1,404.84,15.0,238.68,10503.71,9873.49,-0.029,0,DBSCAN,0,0,0
2026-05-01 00:13:00,S1,404.84,15.0,238.68,10503.71,9873.49,-0.029,0,Autoencoder,0,0,0
2026-05-01 00:13:00,S1,404.84,15.0,238.68,10503.71,9873.49,-0.029,0,Kalman,0,0.096,0
2026-05-01 00:13:00,S1,404.84,15.0,238.68,10503.71,9873.49,-0.029,0,DoubleControl,0,0.043,0
2026-05-01 00:14:00,S1,404.03,15.0,241.58,10508.37,9877.87,0.211,0,IsolationForest,0,0.197,0
2026-05-01 00:14:00,S1,404.03,15.0,241.58,10508.37,9877.87,0.211,0,DBSCAN,0,0,0
